# From bin/get_pathway_compounds.pl on Sun Jul 26 11:16:24 2020
# Pathway1	Pathway2	Shared compounds	Numbber of shared compounds
SALVADEHYPOX-PWY	GLUAMCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	2PHENDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ILEUSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-5686	AMMONIUM	1
SALVADEHYPOX-PWY	TRYPDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ALADEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTAMINDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	SERDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	RIBOSYN2-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTSYNIII-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1298	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1477	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6071	AMMONIUM	1
SALVADEHYPOX-PWY	ORNDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	GLCMANNANAUT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PLPSAL-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7181	AMMONIUM	1
SALVADEHYPOX-PWY	THRDLCTCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1295	RIBOSE-1P,AMMONIUM	2
SALVADEHYPOX-PWY	PWY-5437	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-166	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-781	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1471	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-162	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6703	AMMONIUM	1
SALVADEHYPOX-PWY	PRPP-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7211	AMMONIUM	1
SALVADEHYPOX-PWY	ORNARGDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	MET-SAM-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	AST-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ARGDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	THREOCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-845	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1585	AMMONIUM	1
SALVADEHYPOX-PWY	LCYSDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7176	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7187	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1535	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7195	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-181	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6556	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7194	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-163	RIBOSE-1P,AMMONIUM	2
SALVADEHYPOX-PWY	PWY-7193	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7196	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7208	AMMONIUM	1
SALVADEHYPOX-PWY	METSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	HOMOSER-METSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-5188	AMMONIUM	1
SALVADEHYPOX-PWY	GLUTDEG-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PYRIDNUCSAL-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7761	AMMONIUM	1
SALVADEHYPOX-PWY	PYRIDNUCSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1325	AMMONIUM	1
SALVADEHYPOX-PWY	ASPARAGINESYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ASPARAGINE-BIOSYNTHESIS	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7221	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1221	AMMONIUM	1
SALVADEHYPOX-PWY	ASPARAGINE-DEG1-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6608	RIBOSE-1P,AMMONIUM,URATE,XANTHINE	4
SALVADEHYPOX-PWY	HISTSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-5705	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-5698	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-41	AMMONIUM	1
SALVADEHYPOX-PWY	ARGSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	SALVPURINE2-PWY	RIBOSE-1P,XANTHINE	2
SALVADEHYPOX-PWY	PWY-6605	ADENOSINE	1
SALVADEHYPOX-PWY	PWY-6611	RIBOSE-1P,INOSINE,AMMONIUM,ADENOSINE	4
SALVADEHYPOX-PWY	PWY-6609	RIBOSE-1P,INOSINE,AMMONIUM,HYPOXANTHINE,ADENOSINE	5
SALVADEHYPOX-PWY	GLYCLEAV-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6579	RIBOSE-1P	1
SALVADEHYPOX-PWY	PWY-6620	RIBOSE-1P	1
SALVADEHYPOX-PWY	CYANCAT-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ARG+POLYAMINE-SYN	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-6125	AMMONIUM	1
SALVADEHYPOX-PWY	DENOVOPURINE2-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	BRANCHED-CHAIN-AA-SYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	ASPASN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1297	AMMONIUM,HYPOXANTHINE	2
SALVADEHYPOX-PWY	P4-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY-7179	AMMONIUM,HYPOXANTHINE	2
SALVADEHYPOX-PWY	1CMET2-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	PWY0-1296	RIBOSE-1P,INOSINE,AMMONIUM,XANTHINE,HYPOXANTHINE,ADENOSINE	6
SALVADEHYPOX-PWY	GLNSYN-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	NRI-PWY	AMMONIUM	1
SALVADEHYPOX-PWY	AMMASSIM-PWY	AMMONIUM	1
METHGLYUT-PWY	GLYCEROLMETAB-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-381	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY-6952	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	ENTNER-DOUDOROFF-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-1261	D-LACTATE	1
METHGLYUT-PWY	ILEUSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-1534	PYRUVATE	1
METHGLYUT-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS	E-,|Ubiquinols|,|Ubiquinones|,PYRUVATE,|ETR-Quinols|,|ETR-Quinones|	6
METHGLYUT-PWY	GLYCOLYSIS-E-D	PYRUVATE	1
METHGLYUT-PWY	PWY-5755	PYRUVATE	1
METHGLYUT-PWY	ALANINE-VALINESYN-PWY	PYRUVATE	1
METHGLYUT-PWY	ALANINE-SYN2-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-1061	PYRUVATE	1
METHGLYUT-PWY	FERMENTATION-PWY	E-,D-LACTATE,PYRUVATE	3
METHGLYUT-PWY	PWY-4261	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY-5686	E-,|ETR-Quinols|,|ETR-Quinones|	3
METHGLYUT-PWY	TRYPDEG-PWY	PYRUVATE	1
METHGLYUT-PWY	ALADEG-PWY	E-,PYRUVATE,|ETR-Quinols|,|ETR-Quinones|	4
METHGLYUT-PWY	TCA	E-,|Ubiquinols|,|Ubiquinones|,|ETR-Quinols|,|ETR-Quinones|	5
METHGLYUT-PWY	PWY0-1277	PYRUVATE	1
METHGLYUT-PWY	PWY-7544	E-,|Ubiquinols|,|Ubiquinones|,PYRUVATE	4
METHGLYUT-PWY	PWY0-1334	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1544	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1567	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1329	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1353	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1565	E-,|Ubiquinols|,|Ubiquinones|,D-LACTATE,PYRUVATE	5
METHGLYUT-PWY	PWY-7545	E-,|Ubiquinols|,|Ubiquinones|,PYRUVATE	4
METHGLYUT-PWY	PWY0-1335	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1561	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1568	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY-5484	PYRUVATE	1
METHGLYUT-PWY	GLYCOLYSIS	PYRUVATE	1
METHGLYUT-PWY	SERDEG-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-1801	GLUTATHIONE	1
METHGLYUT-PWY	GLCMANNANAUT-PWY	PYRUVATE	1
METHGLYUT-PWY	PYRIDOXSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-6892	PYRUVATE	1
METHGLYUT-PWY	THRDLCTCAT-PWY	METHYL-GLYOXAL	1
METHGLYUT-PWY	HEMESYN2-PWY	E-	1
METHGLYUT-PWY	PWY0-1415	E-	1
METHGLYUT-PWY	TRPSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	UBISYN-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-5901	PYRUVATE	1
METHGLYUT-PWY	GALACT-GLUCUROCAT-PWY	PYRUVATE	1
METHGLYUT-PWY	VALSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-781	PYRUVATE	1
METHGLYUT-PWY	TCA-GLYOX-BYPASS	E-,|Ubiquinols|,|Ubiquinones|,|ETR-Quinols|,|ETR-Quinones|	5
METHGLYUT-PWY	ALL-CHORISMATE-PWY	PYRUVATE	1
METHGLYUT-PWY	FUC-RHAMCAT-PWY	E-,PROPANE-1-2-DIOL,PYRUVATE,|ETR-Quinols|,|ETR-Quinones|,L-LACTATE,LACTALD	7
METHGLYUT-PWY	PWY0-162	E-,|ETR-Quinols|,|ETR-Quinones|	3
METHGLYUT-PWY	GLUCARGALACTSUPER-PWY	PYRUVATE	1
METHGLYUT-PWY	PRPP-PWY	E-,|ETR-Quinols|,|ETR-Quinones|	3
METHGLYUT-PWY	PYRUVDEHYD-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-5162	PYRUVATE	1
METHGLYUT-PWY	PWY-7211	E-,|ETR-Quinols|,|ETR-Quinones|	3
METHGLYUT-PWY	PWY0-1465	PYRUVATE	1
METHGLYUT-PWY	MET-SAM-PWY	PYRUVATE	1
METHGLYUT-PWY	THREOCAT-PWY	PYRUVATE,METHYL-GLYOXAL	2
METHGLYUT-PWY	PWY0-845	PYRUVATE	1
METHGLYUT-PWY	PWY0-1581	E-	1
METHGLYUT-PWY	PWY0-1585	E-	1
METHGLYUT-PWY	PWY0-1336	E-	1
METHGLYUT-PWY	PWY0-1352	E-	1
METHGLYUT-PWY	PWY0-1573	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1578	E-	1
METHGLYUT-PWY	PWY0-1584	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PROUT-PWY-I	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	PWY0-1321	E-	1
METHGLYUT-PWY	PWY0-1348	E-	1
METHGLYUT-PWY	PWY0-1356	E-	1
METHGLYUT-PWY	PWY0-1577	E-	1
METHGLYUT-PWY	PWY0-1582	E-	1
METHGLYUT-PWY	PWY0-1347	E-	1
METHGLYUT-PWY	PWY0-1355	E-	1
METHGLYUT-PWY	PWY0-1576	E-	1
METHGLYUT-PWY	PWY-7870	GLUTATHIONE	1
METHGLYUT-PWY	LCYSDEG-PWY	PYRUVATE	1
METHGLYUT-PWY	RHAMCAT-PWY	LACTALD	1
METHGLYUT-PWY	PWY0-1535	PYRUVATE	1
METHGLYUT-PWY	NONMEVIPP-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-5838	PYRUVATE	1
METHGLYUT-PWY	PWY0-1317	E-,PYRUVATE,|ETR-Quinols|,|ETR-Quinones|,L-LACTATE,LACTALD	6
METHGLYUT-PWY	PWY0-1315	PROPANE-1-2-DIOL,LACTALD	2
METHGLYUT-PWY	GLUCOSE1PMETAB-PWY	E-,|Ubiquinols|,|Ubiquinones|	3
METHGLYUT-PWY	FUCCAT-PWY	LACTALD	1
METHGLYUT-PWY	GLUTATHIONESYN-PWY	GLUTATHIONE	1
METHGLYUT-PWY	GLUT-REDOX-PWY	GLUTATHIONE	1
METHGLYUT-PWY	PWY0-1599	|ETR-Quinols|,|ETR-Quinones|	2
METHGLYUT-PWY	GALACTCAT-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-7242	PYRUVATE	1
METHGLYUT-PWY	METSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	HOMOSER-METSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	GALACTARDEG-PWY	PYRUVATE	1
METHGLYUT-PWY	GALACTUROCAT-PWY	PYRUVATE	1
METHGLYUT-PWY	GLUCARDEG-PWY	PYRUVATE	1
METHGLYUT-PWY	GLUCUROCAT-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-5453	ACETOL,PROPANE-1-2-DIOL,METHYL-GLYOXAL	3
METHGLYUT-PWY	PWY-5386	E-,GLUTATHIONE,S-LACTOYL-GLUTATHIONE,|Ubiquinols|,|Ubiquinones|,D-LACTATE,PYRUVATE,METHYL-GLYOXAL	8
METHGLYUT-PWY	PWY-5459	E-,PYRUVATE,|ETR-Quinols|,|ETR-Quinones|,L-LACTATE,METHYL-GLYOXAL,LACTALD	7
METHGLYUT-PWY	PWY0-461	|ETR-Quinols|,|ETR-Quinones|	2
METHGLYUT-PWY	GLUCONEO-PWY	PYRUVATE	1
METHGLYUT-PWY	HEXITOLDEGSUPER-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-1591	E-	1
METHGLYUT-PWY	PWY0-1590	E-	1
METHGLYUT-PWY	PWY-5837	PYRUVATE	1
METHGLYUT-PWY	PWY0-42	PYRUVATE	1
METHGLYUT-PWY	DAPLYSINESYN-PWY	PYRUVATE	1
METHGLYUT-PWY	THISYN-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY0-1324	PYRUVATE	1
METHGLYUT-PWY	PWY-4121	GLUTATHIONE	1
METHGLYUT-PWY	BRANCHED-CHAIN-AA-SYN-PWY	PYRUVATE	1
METHGLYUT-PWY	ENTBACSYN-PWY	PYRUVATE	1
METHGLYUT-PWY	P4-PWY	PYRUVATE	1
METHGLYUT-PWY	COMPLETE-ARO-PWY	PYRUVATE	1
METHGLYUT-PWY	PWY-6612	PYRUVATE	1
METHGLYUT-PWY	PWY-6543	PYRUVATE	1
GLUAMCAT-PWY	OANTIGEN-PWY	FRUCTOSE-6P,D-GLUCOSAMINE-6-P	2
GLUAMCAT-PWY	NONOXIPENT-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	PENTOSE-P-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	2PHENDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1261	ACET,D-GLUCOSAMINE-6-P,N-ACETYL-D-GLUCOSAMINE-6-P	3
GLUAMCAT-PWY	ILEUSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS	FRUCTOSE-6P	1
GLUAMCAT-PWY	GLYCOLYSIS-E-D	FRUCTOSE-6P	1
GLUAMCAT-PWY	FERMENTATION-PWY	ACET	1
GLUAMCAT-PWY	PWY0-1312	ACET	1
GLUAMCAT-PWY	PWY-5686	AMMONIUM	1
GLUAMCAT-PWY	ACETOACETATE-DEG-PWY	ACET	1
GLUAMCAT-PWY	TRYPDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	ALADEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	KDO-NAGLIPASYN-PWY	ACET	1
GLUAMCAT-PWY	NAGLIPASYN-PWY	ACET	1
GLUAMCAT-PWY	LPSSYN-PWY	ACET	1
GLUAMCAT-PWY	PWY-7544	ACET	1
GLUAMCAT-PWY	GLUTAMINDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-7545	ACET	1
GLUAMCAT-PWY	PWY-5484	FRUCTOSE-6P	1
GLUAMCAT-PWY	GLYCOLYSIS	FRUCTOSE-6P	1
GLUAMCAT-PWY	SERDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	RIBOSYN2-PWY	AMMONIUM	1
GLUAMCAT-PWY	GLUTSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	GLUTSYNIII-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1298	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1477	AMMONIUM,ACET	2
GLUAMCAT-PWY	PWY-6071	AMMONIUM	1
GLUAMCAT-PWY	ORNDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	GLCMANNANAUT-PWY	FRUCTOSE-6P,AMMONIUM,CPD-13469,ACET,D-GLUCOSAMINE-6-P,N-ACETYL-D-GLUCOSAMINE-6-P	6
GLUAMCAT-PWY	SULFATE-CYS-PWY	ACET	1
GLUAMCAT-PWY	COLANSYN-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	PLPSAL-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-7181	AMMONIUM	1
GLUAMCAT-PWY	THRDLCTCAT-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1295	AMMONIUM	1
GLUAMCAT-PWY	PWY-5437	AMMONIUM	1
GLUAMCAT-PWY	UDPNAGSYN-PWY	FRUCTOSE-6P,D-GLUCOSAMINE-6-P	2
GLUAMCAT-PWY	PWY0-166	AMMONIUM	1
GLUAMCAT-PWY	PWY0-781	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1471	AMMONIUM	1
GLUAMCAT-PWY	PWY0-162	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1313	ACET	1
GLUAMCAT-PWY	ACETATEUTIL-PWY	ACET	1
GLUAMCAT-PWY	PWY-6703	AMMONIUM	1
GLUAMCAT-PWY	PRPP-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-6038	ACET	1
GLUAMCAT-PWY	PWY-7211	AMMONIUM	1
GLUAMCAT-PWY	ORNARGDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	MET-SAM-PWY	AMMONIUM	1
GLUAMCAT-PWY	AST-PWY	AMMONIUM	1
GLUAMCAT-PWY	ARGDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	THREOCAT-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-845	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1585	AMMONIUM	1
GLUAMCAT-PWY	PWY-7870	ACET	1
GLUAMCAT-PWY	CYSTSYN-PWY	ACET	1
GLUAMCAT-PWY	LCYSDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-7176	AMMONIUM	1
GLUAMCAT-PWY	PWY-7187	AMMONIUM	1
GLUAMCAT-PWY	GLUTORN-PWY	ACET	1
GLUAMCAT-PWY	PWY0-1535	AMMONIUM	1
GLUAMCAT-PWY	PWY-7195	AMMONIUM	1
GLUAMCAT-PWY	PWY0-181	AMMONIUM	1
GLUAMCAT-PWY	PWY-6556	AMMONIUM	1
GLUAMCAT-PWY	PWY-7194	AMMONIUM	1
GLUAMCAT-PWY	PWY0-163	AMMONIUM	1
GLUAMCAT-PWY	PWY0-44	FRUCTOSE-6P	1
GLUAMCAT-PWY	PWY-7193	AMMONIUM	1
GLUAMCAT-PWY	PWY-7196	AMMONIUM	1
GLUAMCAT-PWY	PWY-7208	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1309	ACET,N-ACETYL-D-GLUCOSAMINE-6-P	2
GLUAMCAT-PWY	MANNCAT-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	METSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	HOMOSER-METSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-5188	AMMONIUM	1
GLUAMCAT-PWY	GLUTDEG-PWY	AMMONIUM	1
GLUAMCAT-PWY	PYRIDNUCSAL-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-7761	AMMONIUM	1
GLUAMCAT-PWY	PYRIDNUCSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	P2-PWY	ACET	1
GLUAMCAT-PWY	PWY0-1325	AMMONIUM	1
GLUAMCAT-PWY	ASPARAGINESYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	ASPARAGINE-BIOSYNTHESIS	AMMONIUM	1
GLUAMCAT-PWY	PWY-7221	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1221	AMMONIUM	1
GLUAMCAT-PWY	ASPARAGINE-DEG1-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-6608	AMMONIUM	1
GLUAMCAT-PWY	HISTSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	GLUCONEO-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	MANNIDEG-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	HEXITOLDEGSUPER-PWY	FRUCTOSE-6P	1
GLUAMCAT-PWY	PWY-5705	AMMONIUM	1
GLUAMCAT-PWY	PWY-5698	AMMONIUM	1
GLUAMCAT-PWY	PWY0-41	AMMONIUM	1
GLUAMCAT-PWY	ARGSYN-PWY	AMMONIUM,ACET	2
GLUAMCAT-PWY	PWY-6611	AMMONIUM	1
GLUAMCAT-PWY	PWY-6609	AMMONIUM	1
GLUAMCAT-PWY	GLYCLEAV-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-5659	FRUCTOSE-6P	1
GLUAMCAT-PWY	PWY0-1324	N-ACETYL-D-GLUCOSAMINE-6-P	1
GLUAMCAT-PWY	CYANCAT-PWY	AMMONIUM	1
GLUAMCAT-PWY	ARG+POLYAMINE-SYN	AMMONIUM,ACET	2
GLUAMCAT-PWY	PWY-6125	AMMONIUM	1
GLUAMCAT-PWY	DENOVOPURINE2-PWY	AMMONIUM	1
GLUAMCAT-PWY	BRANCHED-CHAIN-AA-SYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	ASPASN-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1297	AMMONIUM	1
GLUAMCAT-PWY	P4-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY-7179	AMMONIUM	1
GLUAMCAT-PWY	1CMET2-PWY	AMMONIUM	1
GLUAMCAT-PWY	PWY0-1296	AMMONIUM	1
GLUAMCAT-PWY	GLNSYN-PWY	AMMONIUM	1
GLUAMCAT-PWY	NRI-PWY	AMMONIUM	1
GLUAMCAT-PWY	AMMASSIM-PWY	AMMONIUM	1
PWY0-662	NONOXIPENT-PWY	RIBOSE-5P	1
PWY0-662	PENTOSE-P-PWY	RIBOSE-5P	1
PWY0-662	PWY-5686	PRPP	1
PWY0-662	PWY-6122	PRPP	1
PWY0-662	PWY-6277	PRPP	1
PWY0-662	PWY-6121	PRPP	1
PWY0-662	PWY-7805	PRPP	1
PWY0-662	PWY0-1295	RIBOSE-5P	1
PWY0-662	TRPSYN-PWY	PRPP	1
PWY0-662	PWY0-781	PRPP	1
PWY0-662	ALL-CHORISMATE-PWY	PRPP	1
PWY0-662	PWY0-162	PRPP	1
PWY0-662	PRPP-PWY	PRPP,RIBOSE-5P	2
PWY0-662	PWY-7211	PRPP	1
PWY0-662	PWY-7183	PRPP	1
PWY0-662	PWY-7194	PRPP	1
PWY0-662	PWY0-163	PRPP	1
PWY0-662	PWY-7196	PRPP	1
PWY0-662	PWY-7208	PRPP	1
PWY0-662	PYRIDNUCSAL-PWY	PRPP	1
PWY0-662	PYRIDNUCSYN-PWY	PRPP	1
PWY0-662	HISTSYN-PWY	PRPP	1
PWY0-662	SALVPURINE2-PWY	PRPP	1
PWY0-662	PWY-6605	PRPP	1
PWY0-662	PWY-6609	PRPP	1
PWY0-662	PWY-6579	PRPP	1
PWY0-662	PWY-6620	PRPP	1
PWY0-662	DENOVOPURINE2-PWY	PRPP	1
PWY0-662	COMPLETE-ARO-PWY	PRPP	1
PWY0-662	PWY0-1296	RIBOSE-5P	1
ECASYN-PWY	OANTIGEN-PWY	ACETYL-COA,GLT,GLC-1-P,DTDP-DEOH-DEOXY-GLUCOSE,DTDP-D-GLUCOSE,UDP-N-ACETYL-D-GLUCOSAMINE	6
ECASYN-PWY	GALACTMETAB-PWY	GLC-1-P	1
ECASYN-PWY	GLYCOL-GLYOXDEG-PWY	ACETYL-COA	1
ECASYN-PWY	PROSYN-PWY	GLT	1
ECASYN-PWY	PWY0-1546	GLT	1
ECASYN-PWY	PWY0-1261	ACETYL-COA,UDP-N-ACETYL-D-GLUCOSAMINE	2
ECASYN-PWY	ILEUSYN-PWY	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	PWY0-1534	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	PWY0-1338	CPD-9646,GLT,2-KETOGLUTARATE	3
ECASYN-PWY	GLYCOLYSIS-TCA-GLYOX-BYPASS	ACETYL-COA,2-KETOGLUTARATE	2
ECASYN-PWY	GLYOXYLATE-BYPASS	ACETYL-COA	1
ECASYN-PWY	ALANINE-VALINESYN-PWY	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	ALANINE-SYN2-PWY	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	PWY0-1061	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	FERMENTATION-PWY	ACETYL-COA,2-KETOGLUTARATE	2
ECASYN-PWY	PWY0-1312	ACETYL-COA	1
ECASYN-PWY	PWY-5686	GLT	1
ECASYN-PWY	ACETOACETATE-DEG-PWY	ACETYL-COA	1
ECASYN-PWY	PWY-6537	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	PWY-6535	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	4AMINOBUTMETAB-PWY	GLT,2-KETOGLUTARATE	2
ECASYN-PWY	TCA	ACETYL-COA,2-KETOGLUTARATE	2
ECASYN-PWY	PWY0-1277	ACETYL-COA	1
ECASYN-PWY	LIPA-CORESYN-PWY	UDP-N-ACETYL-D-GLUCOSAMINE	1
ECASYN-PWY	PWY-6122	GLT	1
ECASYN-PWY	PWY0-1264	ACETYL-COA	1
ECASYN-PWY	PWY-7315	TDP-FUC4NAC,ACETYL-COA,GLT,TDP-D-FUCOSAMINE,2-KETOGLUTARATE,GLC-1-P,DTDP-DEOH-DEOXY-GLUCOSE,DTDP-D-GLUCOSE	8
ECASYN-PWY	KDO-NAGLIPASYN-PWY	UDP-N-ACETYL-D-GLUCOSAMINE	1
ECASYN-PWY	PWY-6277	GLT	1
ECASYN-PWY	NAGLIPASYN-PWY	UDP-N-ACETYL-D-GLUCOSAMINE	1
ECASYN-PWY	DTDPRHAMSYN-PWY	GLC-1-P,DTDP-DEOH-DEOXY-GLUCOSE,DTDP-D-GLUCOSE	3
ECASYN-PWY	PWY-6121	GLT	1
